1.txt
-,1,-,2,-,3,-,4,-
2,-0.466081633027974,0.29387999901060397,-0.32970016398705715,0.9999999999999999,-0.05487939784151453,-0.9069382200826963,-0.13194444444444448,-0.5596226467675051
3,-0.20385979267737678,0.03285841835236551,-0.9076608609400235,-0.9069382200826964,0.7760139808968932,1.0,0.6404522570553182,0.7782896421160246
4,-0.3883899287790395,0.5423099374951661,-0.9328896070103492,-0.5596226467675051,0.8606105806041972,0.7782896421160246,0.36018517395748545,1.0
29.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.6985354731356995,1.0,-0.7824758900557374,-0.3485483377884628,0.7053022338932097,0.7418776048555278,0.9242287686890232,0.4277638691040225
2,-0.39173451338766957,-0.3485483377884628,-0.7102442404494513,0.9999999999999998,0.28738931524044353,-0.798396446178103,0.5086181282339477,-0.9176954732510287
3,0.2403180187396663,0.7418776048555278,-0.9463665673131302,-0.7983964461781029,0.8039912098751971,1.0,0.7875241222694068,0.674243888758063
4,0.22194945906342387,0.42776386910402253,-0.2195175913660582,-0.9176954732510287,0.503259034758939,0.6742438887580631,-0.13803000063168813,0.9999999999999998
3.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.4354816233264542,0.9999999999999998,-0.07576627302822696,0.8624405905121972,-0.13867504905630731,0.7536726347643962,0.5133723946841654,-0.9724850201959881
2,0.3220939284096841,0.8624405905121972,0.4972906522293049,1.0,0.5872202195147035,0.9561271382392679,-0.4678563708079184,-0.8046463363171451
3,-0.521245822186401,0.7536726347643962,-0.47127066695421765,0.9561271382392679,-0.23312620206007847,1.0,0.3302023108921184,-0.7243006274771068
4,0.8336028691894878,-0.9724850201959881,0.8406449734859015,-0.804646336317145,0.8858795678282982,-0.7243006274771067,-0.8930471590036835,0.9999999999999998
30.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.2206845307137952,0.9999999999999998,-0.8616841570258065,0.6260384304250274,0.35230201313192105,0.6793631198232789,0.9329704033263914,-0.5477039906020224
2,-0.8307121310225938,0.6260384304250274,-0.8375348143220627,1.0,-0.2094148170779036,-0.08051106185719305,0.7250047344860179,-0.9701000128048206
3,-0.5687428660826829,0.6793631198232788,-0.9001361367425725,-0.08051106185719305,0.1454839243100261,1.0,0.8242500907738795,0.07074034167023441
4,0.0,-0.5477039906020225,0.04073440849451763,-0.9701000128048206,0.2550306852253353,0.07074034167023442,-0.24251779350118144,1.0
31.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.01648272033221755,1.0,-0.32140468073357426,0.848229552944123,-0.1112513498531706,0.7568044566092903,0.0489425237301696,-0.7343069142041394
2,-0.8638557103210827,0.848229552944123,-0.829652774485514,1.0,-0.5819979665131403,0.42860271893642454,0.5886962613570743,-0.9076617962678968
3,-0.6760205513371458,0.7568044566092903,-0.8316295356285925,0.42860271893642454,-0.28831202107424264,1.0,0.6056767008710392,-0.1945929608612706
4,0.28441130016985505,-0.7343069142041393,0.670791656643273,-0.9076617962678968,-0.30851602658597743,-0.1945929608612706,-0.855660157387423,1.0
32.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.1456060014206344,0.9999999999999999,-0.3989915813664488,0.6658463554581476,0.31236307235097177,0.6165123100142899,0.2895509027338513,-0.38117773961566953
2,-0.7628663989931699,0.6658463554581476,-0.5824860065637452,1.0,-0.826797971216541,0.10644439560975084,-0.0176986819037969,-0.7740235921514522
3,-0.2101004273820375,0.61651231001429,-0.10012523486435178,0.10644439560975086,-0.7691643928883151,1.0,-0.4711194126029404,0.4521216821744817
4,-0.0875962875964484,-0.3811777396156696,0.42711676163570944,-0.7740235921514523,-0.8235186944315237,0.45212168217448173,-0.8585678414864439,1.0
33.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.6340080499347605,1.0,0.670558507472535,0.9917494877490395,0.5407873157408755,0.825800995826489,-0.052158160267368324,-0.1154073420296886
2,-0.8391949576065881,0.9917494877490395,-0.8631269938700621,0.9999999999999999,-0.9753244904313745,0.8539125638299665,-0.4104813685505849,-0.03039426034455285
3,-0.07303941357182421,0.8258009958264889,-0.06608506657971012,0.8539125638299665,-0.5216720300383332,0.9999999999999999,-0.6337694144944241,0.4465211316392705
4,-0.6092869875958401,-0.1154073420296886,-0.6828410818772357,-0.030394260344552847,-0.9111501530379293,0.4465211316392705,-0.6753319656607911,1.0
34.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.6427603848601581,1.0,0.7218989184693916,0.9747428569530902,0.6135265700483092,0.8836073674775474,-0.2856887424702023,-0.17603085868063872
2,-0.9584641558364655,0.9747428569530903,-0.9540601401999963,1.0,-0.9530804922078211,0.9342221297839185,-0.10033442639855615,-0.05139997131193071
3,-0.5777355130077522,0.8836073674775473,-0.5165870401858496,0.9342221297839185,-0.6916617671486047,1.0,-0.25585495670692204,0.2728005285241782
4,-0.870625017858744,-0.17603085868063875,-0.9435336518475907,-0.05139997131193071,-0.9909765319665165,0.27280052852417824,-0.25486210342976034,1.0
35.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
